Type                                  Module                      Label             Process     
edmNew::DetSetVector<TTCluster<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "TTStubsFromPhase2TrackerDigis"   "ClusterRejected"   "fullsim"   
edmNew::DetSetVector<TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "TTStubsFromPhase2TrackerDigis"   "StubAccepted"    "fullsim"   
edmNew::DetSetVector<TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "TTStubsFromPhase2TrackerDigis"   "StubRejected"    "fullsim"   
float                                 "genParticles"              "t0"              "fullsim"   
vector<L1MuBMTrack>                   "simBmtfDigis"              "BMTF"            "fullsim"   
vector<L1MuBMTrackSegEta>             "simBmtfDigis"              "BMTF"            "fullsim"   
vector<L1MuBMTrackSegPhi>             "simBmtfDigis"              "BMTF"            "fullsim"   
vector<SimTrack>                      "g4SimHits"                 ""                "fullsim"   
vector<SimVertex>                     "g4SimHits"                 ""                "fullsim"   
vector<TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "l1tTTTracksFromExtendedTrackletEmulation"   "Level1TTTracks"   "fullsim"   
vector<TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "l1tTTTracksFromTrackletEmulation"   "Level1TTTracks"   "fullsim"   
vector<TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "l1tGTTInputProducer"       "Level1TTTracksConverted"   "fullsim"   
vector<TTTrack<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >    "l1tGTTInputProducerExtended"   "Level1TTTracksExtendedConverted"   "fullsim"   
vector<TrackingParticle>              "mix"                       ""                "fullsim"   
vector<TrackingParticle>              "prunedTrackingParticles"   ""                "fullsim"   
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "fullsim"   
vector<TrackingVertex>                "mix"                       ""                "fullsim"   
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "fullsim"   
vector<int>                           "genParticles"              ""                "fullsim"   
vector<l1t::EMTFHit>                  "simEmtfDigis"              ""                "fullsim"   
vector<l1t::EMTFTrack>                "simEmtfDigis"              ""                "fullsim"   
vector<l1t::MuonStub>                 "l1tTkStubsGmt"             ""                "fullsim"   
vector<l1t::PFTrack>                  "l1tPFTracksFromL1Tracks"   ""                "fullsim"   
vector<l1t::TrackerMuon>              "l1tTkMuonsGmt"             ""                "fullsim"   
vector<reco::GenParticle>             "genParticles"              ""                "fullsim"   
vector<vector<bitset<64> > >          "l1tTTTracksFromExtendedTrackletEmulation"   "Level1TTTracks"   "fullsim"   
vector<vector<bitset<64> > >          "l1tTTTracksFromTrackletEmulation"   "Level1TTTracks"   "fullsim"   
vector<vector<pair<edm::Ref<edmNew::DetSetVector<TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >,TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >,edmNew::DetSetVector<TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >::FindForDetSetVector>,bitset<64> > > >    "l1tTTTracksFromExtendedTrackletEmulation"   "Level1TTTracks"   "fullsim"   
vector<vector<pair<edm::Ref<edmNew::DetSetVector<TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >,TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > >,edmNew::DetSetVector<TTStub<edm::Ref<edm::DetSetVector<Phase2TrackerDigi>,Phase2TrackerDigi,edm::refhelper::FindForDetSetVector<Phase2TrackerDigi> > > >::FindForDetSetVector>,bitset<64> > > >    "l1tTTTracksFromTrackletEmulation"   "Level1TTTracks"   "fullsim"   
